addr1,addr2,zipcode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,progresstype,festivaltype,overview
서울특별시 송파구 양재대로 932 (가락동),가락몰 3층 하늘공원,5699.0,A02,A0207,A02070200,3113671,15,20240415100726,20250509,20250511,http://tong.visitkorea.or.kr/cms/resource/91/3484791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3484791_image3_1.jpg,Type3,127.1107693087,37.4960786971,6,20250418150616,1,18,02-3435-0286,가락몰 빵축제 전국빵지자랑,11,710,EV,EV01,EV010600,,,"전국 각지의 농수축산물이 모이는 가락몰에서, 전국 각지의 빵 맛집들이 모여 서울 최초의 전국 빵 축제를 개최한다. 축제는 5월 9일(금)부터 5월 11일(일)까지 3일간, 가락몰 하늘공원에서 진행된다. 20개의 전국 유명 빵집이 참여하며, 총 100종 이상의 다양한 빵을 선보인다. 축제 기간 동안 버블&매직쇼, 풍선 빵 오마카세와 같은 다양한 볼거리와 가락몰 및 행사장 구매고객대상 꽝없는 빵쿠폰 뽑기와 신라호텔 망고쇼트케이크, 나폴레옹과자점 쿠키세트 추첨 이벤트도 진행된다.선착순 400명의 사전 예약자에게는 1만원 빵쿠폰도 제공된다. 사진맛집 가락몰 하늘공원에서, 향긋한 빵 향기와 함께 가족, 친구, 연인과 멋진 추억을 남길 수 있다."
서울특별시 송파구 양재대로 932 (가락동),(가락동 600) 가락몰3층 하늘공원,5699.0,A02,A0207,A02070200,3379778,15,20241004095015,20251024,20251026,http://tong.visitkorea.or.kr/cms/resource/73/3553073_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/73/3553073_image3_1.png,Type3,127.1107693087,37.4960786971,6,20251023111845,1,18,02-3435-0455,가락옥토버페스트 미식야행,11,710,EV,EV01,EV010600,,,"전국 각지 농수산물이 모이는 서울시 송파구 가락몰 3층 하늘공원에서 루프탑 야외축제 '제2회 가락옥토버페스트 미식야행'을 개최한다. 낭만있는 캠핑, 수제맥주와 바베큐 그리고 가락시장에서 맛볼 수 있는 다양한 원물 요리까지 맛볼수 있는 행사이다. 10/24(금)~10/26(일), 3일간 약 20여 개의 전국 수제맥주브루어리와 다양한 먹거리 팝업 그리고 흑백요리사 출신 요리사들의 미식대결까지 새로운 맛의 향연이 펼쳐질 예정이다."
서울특별시 중구 퇴계로 지하126 (충무로2가),,4629.0,A02,A0208,A02081300,3021762,15,20231020110542,20251115,20251115,http://tong.visitkorea.or.kr/cms/resource/65/3559865_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/65/3559865_image3_1.png,Type3,126.985959388,37.5609633613,6,20251031132445,1,24,02-2277-8971,"가을 , 명동으로",11,140,EV,EV03,EV030400,선택안함,선택안함,"'가을, 명동으로'는 즐거움과 의미가 함께하는 행사이다. 명동역 3번 출구 앞 ‘재미로 상상 광장’에서 신나는 음악과 퍼포먼스가 어우러진 멋진 공연이 이어지며, 현장을 찾은 모든 이들에게 풍성한 볼거리를 제공한다. 공연과 함께 열리는 토이 플리마켓에서는 다양한 장난감과 굿즈를 직접 보고 구매할 수 있어, 어린이와 어른 모두 즐거운 시간을 보낼 수 있다. 행사 중간 중간 준비된 경품 이벤트는 참여자들에게 특별한 즐거움을 선사한다. 특히 토이 플리마켓의 수익 일부는 장난감이 필요한 어린이에게 기부되어, 방문객들이 즐거움을 누리는 동시에 의미 있는 나눔을 실천할 수 있다. 가족, 친구, 연인과 함께 가을의 정취 속에서 즐거운 추억을 만들 수 있는 뜻깊은 행사이다."
서울특별시 강남구 도산대로45길 20 (신사동),도산공원,6020.0,A02,A0207,A02070200,3541003,15,20250918175214,20250919,20250919,http://tong.visitkorea.or.kr/cms/resource/97/3540997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3540997_image3_1.jpg,Type3,127.0356170227,37.5240046579,6,20250919092956,1,1,010-9771-2090,강남청년축제,11,680,EV,EV01,EV010600,,,"2025 강남청년축제 ‘소셜링 페스티벌’은 강남구를 대표하는 청년축제이다. 축제는 9월 19일 금요일 오후 5시부터 도산공원 일대에서 열린다. 이번 축제는 강남의 지역 특성인 ‘퇴근 후 소모임 문화’를 주제로 기획된 축제로, 청년들의 다양한 취향과 관심사가 연결되는 소셜링 콘셉트로 진행된다. 현장에는 영화·독서·요리·만남 등 청년 소모임 18개 팀이 참여하는 소셜링 존과 강남구 청년정책을 알리는 정책 홍보 부스가 운영된다. 또한 청년들이 즐길 수 있는 푸드트럭과 포토존도 마련된다. 메인 무대에서는 가수 미란이, 코미디언 조충현을 비롯해 공연과 토크콘서트, 디제잉 파티가 이어져 청년들의 열정과 에너지를 보여줄 예정이다."
서울특별시 강동구 양재대로84길 63 (둔촌동),강동중앙도서관·둔촌 1동 근린공원,5411.0,A02,A0207,A02070200,1806376,15,20130422192127,20251101,20251101,http://tong.visitkorea.or.kr/cms/resource/00/3386100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3386100_image3_1.jpg,Type3,127.1369827856,37.5244036592,6,20251030141704,1,2,02-2045-7919,강동북페스티벌,11,740,EV,EV01,EV010200,선택안함,선택안함,"강동북페스티벌은 강동문화재단이 주최하고 강동구립도서관이 주관하는 독서문화축제로서, 올해로 16회를 맞이하였다.
이번 축제는 강동중앙도서관 개관을 기념하여 'THE LIBRARY: 도서관 +' 라는 주제로 강동중앙도서관 및 둔촌 1동 근린공원에서 진행된다. 한석준 아나운서의 <행복한 인생을 위한 소통> 강연과 박혜진 아나운서의 낭독 with Piano 공연 그리고 강동구립도서관 홍보 포토존과 굿즈 판매 부스를 운영하며, 교보문고 전자책, 어크로스, 다람출판사, 북극곰, 내셔널지오그래픽, 시그니처 라이브러리, 오니프, 한국점자도서관 등 다양한 출판사와 서점·협력기관이 함께 할 예정이다."
서울특별시 강동구 올림픽로 875 (암사동),,5239.0,A02,A0207,A02070200,1307813,15,20110615014707,20251017,20251019,http://tong.visitkorea.or.kr/cms/resource/77/3541977_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3541977_image3_1.jpg,Type3,127.1306157102,37.5591134023,6,20251104103006,1,2,02-3425-5240,강동선사문화축제,11,740,EV,EV01,EV010400,선택안함,선택안함,"올해로 제30회를 맞이한 강동선사문화축제는 서울시 축제 중 유일하게 선사시대를 테마로 열리는 축제로, 선사유적지의 역사적 가치를 알리는 동시에, 선사인들의 삶의 모습을 체험할 수 있는 다채로운 프로그램들을 자랑한다. 올해는 서울 암사동 유적 발견 100주년을 기념하여 ‘6000년의 숨결, 100년의 빛, 30년의 울림’이라는 주제로 ‘물, 불, 흙, 바람’ 4원소를 주제로 한 별개의 공간으로 구성된다. 각 공간은 소재의 특징에 맞는 연출과 다양한 전시·체험 및 야간 프로그램들, 맛있는 먹거리들, 그리고 다채로운 공연들로 축제의 3일을 가득 채워 관람객들에게 과거와 현재를 넘나드는 특별한 즐거움들을 선사할 예정이다."
서울특별시 강북구 월계로 173 (번동),북서울꿈의숲,1228.0,A02,A0207,A02070200,3114696,15,20240423162138,20250503,20250503,http://tong.visitkorea.or.kr/cms/resource/55/3487455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3487455_image3_1.jpg,Type3,127.0445440464,37.619724251,6,20250430131956,1,3,02-554-9795,강북구 어린이날 대축제,11,305,EV,EV01,EV010200,,,"제2회 강북구 어린이날 축제는 어린이날을 기념하여 북서울꿈의숲에서 진행되는 행사입니다. 캐리와 친구들 싱어롱쇼, 퍼레이드, 무대공연, 바이킹, 레일 기차, 로프탐험, 레이싱 바이크 등 어린이 놀이기구와 에어바운스 6종 등 어린이들이 맘껏 뛰어 놀고 경험할 수 있는 다채로운 놀거리와 체험프로그램도 함께 준비되어 있다."
서울특별시 강북구 도봉로76가길 55 (미아동),성신여자대학교 운정그린캠퍼스,1133.0,A02,A0207,A02070200,3354973,15,20240828100946,20250927,20250927,http://tong.visitkorea.or.kr/cms/resource/50/3539950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3539950_image3_1.jpg,Type3,127.0274174771,37.6321225012,6,20250917154931,1,3,02-901-2503,강북청소년축제 강추,11,305,EV,EV01,EV010200,선택안함,선택안함,"청소년의 주체적 참여와 다양한 세대의 교류를 촉진하는 장으로서 의미를 지니는 2025 강북청소년축제 ‘강추’가 개최된다. 강추는 청소년 세대와 전 세대가 소통하고 화합하는 청소년 중심의 축제로, 2025년 9월 27일 토요일 오전 10시부터 오후 7시까지 성신여자대학교 미아운정그린캠퍼스 광장에서 열린다. 이번 축제는 '같이의 가치, 우리 모두의 축제'라는 슬로건을 바탕으로 청소년들 사이에서 유행하는 ‘레트로’ 감성을 바탕으로 과거와 현재가 연결되는 다양한 프로그램을 기획하였다. 주요 프로그램으로는 청소년이 직접 참여하는 체험부스와 레트로 게임을 즐길 수 있는 ‘레트로 놀이터’, 그리고 무대 공연이 준비되어 있으며 특히 무대 프로그램에서는 청소년 기획단이 직접 작곡한 주제곡 공연을 비롯해 청소년 동아리 공연, 청소년 댄스 경연대회 및 시상식이 진행되며, 가수 우디와 펀치의 공연도 이어진다. 또한 강북구 최강의 마스코트를 뽑는 ‘강북히어로즈’ 프로그램이 새롭게 준비되어 참가자들이 다양한 미션을 통해 강북구 최고 캐릭터를 선정하는 과정에 참여할 수 있다. 이와 더불어 푸드트럭과 먹거리존, 포토존, 지역 시장 연계 이벤트 등 부대 프로그램도 함께 운영된다."
서울특별시 강서구 우장산로 66 (내발산동),,7684.0,A02,A0207,A02070200,3489679,15,20250508155311,20250524,20250524,http://tong.visitkorea.or.kr/cms/resource/73/3489673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/3489673_image3_1.JPG,Type3,126.8436392403,37.5534894617,6,20250513113417,1,4,02-2600-6970,강서 아이들 까치까치 페스티벌,11,500,EV,EV01,EV010200,,,"강서 아이들 솜씨자랑대회, 청소년 어울림마당, 아동권리홍보와 체험부스가 하나의 축제로 연합하여 개최된다. 솜씨자랑대회는 초등학생 어린이들의 동요부르기 대회와 미취학 어린이부터 초등학생까지의 그림그리기, 글짓기 대회로 경연을 통해 순위를 정하여 후에 강서구청장이 시상한다. 청소년 어울림마당은 우장산 근린공원 무대에서 강서청소년회관 소속의 청소년 동아리에서 댄스, 밴드 등 자신들의 재주를 뽐내는 시간이다. 아동권리홍보 부스는 아동친화도시로 선정된 우리 구와 관계기관에서 아이들의 권리에 대해 홍보하고 또한 청소년동아리에서 동아리와 관련된 체험부스를 운영하여 아이들이 재미있게 참여할 수 있다."
서울특별시 강서구 강서로5길 50 (화곡동),,7781.0,A02,A0207,A02070200,3489706,15,20250508162155,20250524,20250524,http://tong.visitkorea.or.kr/cms/resource/01/3489701_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3489701_image3_1.jpg,Type3,126.8489199998,37.5291062796,6,20250512164020,1,4,02-2600-6763<br>02-2606-2017,강서구 다문화축제,11,500,EV,EV01,EV010200,,,"5월 가정의 달, 세계인의 날을 맞이하여 다양한 문화적 배경을 가진 가족간의 소통과 화합을 위한 다문화축제와 가족행사를 진행한다.다문화축제 주요 프로그램에는 세계전통의상 패션소, 다문화가족 장기자랑, 세계문화공연, 온가족함께 익사이팅, 다문화 체험부스, 다문화 먹거리 판매, 다문화 물품 바자회 등이 있다. 가족행사 주요 프로그램에는 5개 분야의 모범부부 표창, 가족사진전, 가족사랑표현 미션 수행, 인생네컷 등이 있다."
